FinancialYear,SettlementDate,SettlementPeriod,1,2,3,4,5,6,7,8,9
2020/21,43925,24,5,76,31,52,7,7,14,7,42
2020/21,43925,25,5,67,26,44,4,4,12,6,44
2020/21,43925,26,7,51,25,56,3,3,20,10,46
2020/21,43925,27,6,56,37,85,1,1,38,19,38
2020/21,43925,28,13,73,30,101,4,4,60,30,40
2020/21,43925,29,7,67,18,105,1,1,76,38,65
2020/21,43925,30,13,47,15,115,1,1,82,41,84
2020/21,43925,31,4,47,12,86,3,3,82,41,56
2020/21,43925,32,5,37,12,69,8,8,82,41,47
2020/21,43925,33,9,47,17,51,13,13,82,41,38
2020/21,43925,34,3,47,26,34,16,16,82,41,22
2020/21,43925,35,1,57,24,33,19,19,82,41,11
2020/21,43925,36,4,71,27,48,23,23,82,41,4
2020/21,43925,37,6,71,20,63,27,27,82,41,6
2020/21,43925,38,9,67,15,52,29,29,84,42,22
2020/21,43925,39,10,66,20,45,39,39,88,44,48
2020/21,43925,40,9,70,29,62,47,47,86,43,79
2020/21,43925,41,15,80,29,87,42,42,84,42,100
2020/21,43925,42,6,92,29,72,34,34,84,42,103
2020/21,43925,43,15,92,29,78,26,26,88,44,103
2020/21,43925,44,15,92,26,72,47,47,88,44,103
2020/21,43925,45,16,89,19,77,61,61,86,43,103
2020/21,43925,46,18,82,19,66,56,56,84,42,103
2020/21,43925,47,14,78,12,72,56,56,84,42,101
2020/21,43925,48,4,77,10,37,57,57,82,41,92
2020/21,43926,1,10,71,11,43,57,57,80,40,91
2020/21,43926,2,5,57,10,58,50,50,80,40,89
2020/21,43926,3,5,60,16,64,63,63,82,41,84
2020/21,43926,4,11,43,17,66,61,61,86,43,85
2020/21,43926,5,3,40,15,58,57,57,86,43,80
2020/21,43926,6,2,55,12,49,59,59,88,44,82
2020/21,43926,7,4,65,12,59,59,59,88,44,90
2020/21,43926,8,2,78,6,49,50,50,88,44,100
2020/21,43926,9,10,65,10,60,41,41,86,43,103
2020/21,43926,10,22,66,160,63,43,43,86,43,101
2020/21,43926,11,28,63,18,81,41,41,86,43,102
2020/21,43926,12,32,74,19,88,47,47,82,41,103
2020/21,43926,13,32,70,20,90,59,59,82,41,103
2020/21,43926,14,25,73,26,87,64,64,82,41,103
2020/21,43926,15,21,74,27,86,64,64,80,40,94
2020/21,43926,16,31,83,22,83,71,71,82,41,95
2020/21,43926,17,26,92,22,73,69,69,88,44,96
2020/21,43926,18,26,92,26,21,60,60,88,44,97
2020/21,43926,19,11,92,21,12,55,55,88,44,99
2020/21,43926,20,27,90,18,72,56,56,88,44,102
2020/21,43926,21,28,85,28,76,62,62,88,44,103
2020/21,43926,22,27,83,32,72,67,67,88,44,103
2020/21,43926,23,27,87,31,5,69,69,88,44,103
2020/21,43926,24,27,87,23,73,67,67,88,44,103
2020/21,43926,25,27,86,26,74,62,62,88,44,103
2020/21,43926,26,27,89,24,75,44,44,88,44,103
2020/21,43926,27,27,91,37,79,42,42,88,44,103
2020/21,43926,28,27,93,42,87,47,47,88,44,103
2020/21,43926,29,26,93,35,55,46,46,88,44,103
2020/21,43926,30,27,92,35,108,24,24,88,44,103
2020/21,43926,31,27,91,40,107,16,16,88,44,103
2020/21,43926,32,28,91,41,115,15,15,88,44,103
2020/21,43926,33,18,90,39,116,19,19,88,44,103
2020/21,43926,34,30,86,34,138,22,22,88,44,103
2020/21,43926,35,15,83,26,140,23,23,88,44,103
2020/21,43926,36,1,81,20,100,34,34,88,44,103
2020/21,43926,37,32,80,24,121,44,44,88,44,103
2020/21,43926,38,32,83,36,106,55,55,88,44,103
2020/21,43926,39,32,88,40,103,42,42,88,44,103
2020/21,43926,40,32,87,27,109,27,27,88,44,103
