SettlementDate,SettlementPeriod,PGCErrorPrice(£/MWh)
07/04/2020,11,5.257266667
07/04/2020,12,5.701711111
07/04/2020,13,2.022822222
07/04/2020,14,3.5286
07/04/2020,15,0.1406
07/04/2020,16,0.209044444
07/04/2020,17,6.7626
07/04/2020,18,6.192266667
07/04/2020,19,5.3944
07/04/2020,20,5.868133333
07/04/2020,21,-23.50695556
07/04/2020,22,-27.20295556
07/04/2020,23,-26.21051111
07/04/2020,24,-24.15717778
07/04/2020,25,20.2422
07/04/2020,26,17.1006
07/04/2020,27,-20.4954
07/04/2020,28,-16.90206667
07/04/2020,29,-18.35651111
07/04/2020,30,20.56633333
07/04/2020,31,-0.441177778
07/04/2020,32,-24.85873333
07/04/2020,33,-34.21851111
07/04/2020,34,15.31786667
07/04/2020,35,8.810266667
07/04/2020,36,12.06406667
07/04/2020,37,-38.11984444
07/04/2020,38,17.2876
07/04/2020,39,-41.66184444
07/04/2020,40,-7.182955556
07/04/2020,41,-20.3414
07/04/2020,42,-31.47217778
07/04/2020,43,-19.70828889
07/04/2020,44,10.00706667
07/04/2020,45,-21.52206667
07/04/2020,46,-17.31273333
07/04/2020,47,-12.12806667
07/04/2020,48,-9.338955556
08/04/2020,1,17.3998
08/04/2020,2,16.00353333
08/04/2020,3,14.08366667
08/04/2020,4,14.02133333
08/04/2020,5,-13.65095556
08/04/2020,6,-12.07673333
08/04/2020,7,17.23773333
08/04/2020,8,16.3526
08/04/2020,9,-26.46717778
08/04/2020,10,-25.47473333
08/04/2020,11,-27.23717778
08/04/2020,12,-23.90051111
08/04/2020,13,-22.4204
08/04/2020,14,-19.07517778
08/04/2020,15,-24.00317778
08/04/2020,16,-33.36295556
08/04/2020,17,-23.02784444
08/04/2020,18,15.25553333
08/04/2020,19,-0.441177778
08/04/2020,20,-21.86428889
08/04/2020,21,-35.86117778
08/04/2020,22,-34.56073333
08/04/2020,23,-18.54473333
08/04/2020,24,-16.23473333
08/04/2020,25,-18.25384444
08/04/2020,26,-17.50095556
08/04/2020,27,-16.71384444
08/04/2020,28,-16.54273333
08/04/2020,29,-27.5794
08/04/2020,30,-12.82962222
08/04/2020,31,-12.36762222
08/04/2020,32,-14.13006667
08/04/2020,33,-24.60206667
08/04/2020,34,-37.93162222
08/04/2020,35,-37.60651111
08/04/2020,36,-37.40117778
08/04/2020,37,16.77646667
08/04/2020,38,14.9314
08/04/2020,39,17.46213333
08/04/2020,40,8.660666667
08/04/2020,41,2.9126
08/04/2020,42,-21.35095556
08/04/2020,43,9.595666667
08/04/2020,44,-30.09473333
08/04/2020,45,5.556466667
08/04/2020,46,1.903044444
08/04/2020,47,4.965933333
08/04/2020,48,6.292
09/04/2020,1,7.1148
09/04/2020,2,7.180873333
09/04/2020,3,5.8432
09/04/2020,4,-20.35851111
09/04/2020,5,-17.70628889
09/04/2020,6,14.73193333
09/04/2020,7,-2.597177778
09/04/2020,8,-16.71384444
09/04/2020,9,8.897533333
09/04/2020,10,5.643733333
09/04/2020,11,-26.56984444
09/04/2020,12,-30.95028889
